t0,t1,c1,c2,sum
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,dragons-den/game-jam-dvd,,1
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,,dragons-den/evolve-idol,2
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,,MAIN/dragons-den,19
2023-09-09 16:00:00+00:00,2023-09-09 17:00:00+00:00,,,128
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/dragons-den,,20
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/mental-health,,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,MAIN/mental-health,MAIN/dragons-den,2
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,2
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,dragons-den/evolve-idol,,2
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,dragons-den/evolve-idol,4
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,dragons-den/game-jam-dvd,4
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,6
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,MAIN/dragons-den,20
2023-09-09 17:00:00+00:00,2023-09-09 18:00:00+00:00,,,125
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,MAIN/dragons-den,,17
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,MAIN/dragons-den,1
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,4
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,dragons-den/evolve-idol,,3
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,5
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,MAIN/general,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,dragons-den/evolve-idol,2
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,4
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,dragons-den/game-jam-dvd,5
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,MAIN/dragons-den,21
2023-09-09 18:00:00+00:00,2023-09-09 19:00:00+00:00,,,112
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,3
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,12
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,MAIN/dragons-den,,28
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,MAIN/general,,2
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,MAIN/dragons-den,2
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,7
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,dragons-den/9-rows-9-columns-9-boxes,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/evolve-idol,,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/game-jam-dvd,,4
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,8
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,MAIN/general,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,dragons-den/evolve-idol,1
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,2
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,dragons-den/game-jam-dvd,5
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,MAIN/dragons-den,16
2023-09-09 19:00:00+00:00,2023-09-09 20:00:00+00:00,,,113
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,2
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,MAIN/dragons-den,,12
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,MAIN/general,MAIN/general,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,MAIN/dragons-den,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/evolve-idol,,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/game-jam-dvd,,3
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,13
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,dragons-den/evolve-idol,2
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,3
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,dragons-den/game-jam-dvd,6
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,MAIN/dragons-den,14
2023-09-09 20:00:00+00:00,2023-09-09 21:00:00+00:00,,,132
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,8
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,MAIN/dragons-den,,23
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,MAIN/general,,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,MAIN/dragons-den,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,4
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/evolve-idol,,2
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/game-jam-dvd,MAIN/dragons-den,4
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/game-jam-dvd,,7
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,10
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,MAIN/cringe-cafe,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,dragons-den/evolve-idol,2
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,3
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,dragons-den/game-jam-dvd,3
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,MAIN/dragons-den,24
2023-09-09 21:00:00+00:00,2023-09-09 22:00:00+00:00,,,116
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,3
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/dragons-den,,21
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,2
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,dragons-den/game-jam-dvd,,5
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,8
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,MAIN/cringe-cafe,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,dragons-den/evolve-idol,1
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,3
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,dragons-den/game-jam-dvd,4
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,MAIN/dragons-den,11
2023-09-09 22:00:00+00:00,2023-09-09 23:00:00+00:00,,,131
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,7
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,MAIN/dragons-den,,17
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,4
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,dragons-den/evolve-idol,,2
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,dragons-den/game-jam-dvd,,4
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,11
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,,dragons-den/game-jam-dvd,1
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,,dragons-den/roguelike-den,1
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,5
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,,MAIN/dragons-den,10
2023-09-09 23:00:00+00:00,2023-09-10 00:00:00+00:00,,,145
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,MAIN/dragons-den,dragons-den/game-jam-dvd,1
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,6
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,MAIN/dragons-den,,10
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,5
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,dragons-den/evolve-idol,,2
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,dragons-den/game-jam-dvd,MAIN/dragons-den,1
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,dragons-den/game-jam-dvd,,3
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,dragons-den/game-jam-dvd,dragons-den/game-jam-dvd,8
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,dragons-den/roguelike-den,,1
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,MAIN/general,2
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,2
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,MAIN/cringe-cafe,3
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,dragons-den/game-jam-dvd,3
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,MAIN/dragons-den,8
2023-09-10 00:00:00+00:00,2023-09-10 01:00:00+00:00,,,159
